Relação de Direitos Autorais (Crédito)


Icones			Autor				Categoria				Site
Redes Sociais		Published by Freepik		Social Networking Logo			FlatIcon
Icones Diversos		Published by Smashicons		Essential Collection			FlatIcon
Icones Diversos		Published by Smashicnon		Interation Assets			FlatIcon
Icones Diversos 	Published By Freepik		Communication and Media			FlatIcon
Icones Médicos		Published by Freepik		Medical Elements			FlatIcon
Icones Call		Published by Pixel perfect	Phones					FlatIcon
Map Icons		Published by Scott de Jonge	Map Icons				FlatIcon
Transport		Published by Nikita Golubev	Transport				FlatIcon
Pegadas			Published by Freepik		FootPrints				FlatIcon
Return			Published by Smashicons		Arrow Collection			FlatIcon


Icones Info		Icon8				Info					Icon8
